date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:47:30	8238/8238	---M--	200	added ('OK')	image/jpeg	etag:%2289a6c82c0ad5aeb3df96fa6a14dd7875%22	https://assets.website-files.com/60d9feb9c76d589e5bee9402/60db9a1802095e7d7a516f7a_image-2-testimonials-about-course-x-template.jpg	D:/Web/httrack/Course%20X/assets.website-files.com/60d9feb9c76d589e5bee9402/60db9a1802095e7d7a516f7a_image-2-testimonials-about-course-x-template.jpg	(from https://coursetemplate.webflow.io/about)
02:47:30	11608/11608	---M--	200	added ('OK')	image/png	etag:%224e6400793d0b4537dfaf73294a2f9e88%22	https://assets.website-files.com/60d9feb9c76d5832c1ee9412/60dbc388940d996d6722c6a5_image-1-courses-course-x-template.png	D:/Web/httrack/Course%20X/assets.website-files.com/60d9feb9c76d5832c1ee9412/60dbc388940d996d6722c6a5_image-1-courses-course-x-template.png	(from https://coursetemplate.webflow.io/courses)
02:47:30	60515/60515	---M-Z	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2001:47:31%20GMT	https://coursetemplate.webflow.io/product/brand-identity-design-for-marketers	D:/Web/httrack/Course%20X/coursetemplate.webflow.io/product/brand-identity-design-for-marketers.html	(from https://coursetemplate.webflow.io/courses)
02:47:30	14856/14856	---M--	200	added ('OK')	image/png	etag:%228e99e64fa003ae26e380ccc440778806%22	https://assets.website-files.com/60d9feb9c76d5832c1ee9412/60dbc36c9fdd4535ea1c062b_image-2-courses-course-x-template.png	D:/Web/httrack/Course%20X/assets.website-files.com/60d9feb9c76d5832c1ee9412/60dbc36c9fdd4535ea1c062b_image-2-courses-course-x-template.png	(from https://coursetemplate.webflow.io/courses)
02:47:31	60541/60541	---M-Z	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2001:47:31%20GMT	https://coursetemplate.webflow.io/product/landing-page-a-b-testing-conversion-optimization	D:/Web/httrack/Course%20X/coursetemplate.webflow.io/product/landing-page-a-b-testing-conversion-optimization.html	(from https://coursetemplate.webflow.io/courses)
02:47:31	11126/11126	---M--	200	added ('OK')	image/png	etag:%22868256f69b89327520ce94c7a7de59ce%22	https://assets.website-files.com/60d9feb9c76d5832c1ee9412/60dbc34f4fc2221216bee1cc_image-3-courses-course-x-template.png	D:/Web/httrack/Course%20X/assets.website-files.com/60d9feb9c76d5832c1ee9412/60dbc34f4fc2221216bee1cc_image-3-courses-course-x-template.png	(from https://coursetemplate.webflow.io/courses)
02:47:31	60487/60487	---M-Z	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2001:47:32%20GMT	https://coursetemplate.webflow.io/product/email-marketing-for-e-commerce	D:/Web/httrack/Course%20X/coursetemplate.webflow.io/product/email-marketing-for-e-commerce.html	(from https://coursetemplate.webflow.io/courses)
02:47:31	12545/12545	---M--	200	added ('OK')	image/png	etag:%22c1d905f60ffa67bde623e6b2489c4652%22	https://assets.website-files.com/60d9feb9c76d5832c1ee9412/60dbc33016e50b1fa0e7ce25_image-4-courses-course-x-template.png	D:/Web/httrack/Course%20X/assets.website-files.com/60d9feb9c76d5832c1ee9412/60dbc33016e50b1fa0e7ce25_image-4-courses-course-x-template.png	(from https://coursetemplate.webflow.io/courses)
02:47:31	60592/60592	---M-Z	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2001:47:32%20GMT	https://coursetemplate.webflow.io/product/video-marketing-learn-to-plan-create-content	D:/Web/httrack/Course%20X/coursetemplate.webflow.io/product/video-marketing-learn-to-plan-create-content.html	(from https://coursetemplate.webflow.io/courses)
02:47:32	12928/12928	---M--	200	added ('OK')	image/png	etag:%22ba397fc7d21199ab618ce597d7d198d0%22	https://assets.website-files.com/60d9feb9c76d5832c1ee9412/60dbc31520f0374bc576e43f_image-5-courses-course-x-template.png	D:/Web/httrack/Course%20X/assets.website-files.com/60d9feb9c76d5832c1ee9412/60dbc31520f0374bc576e43f_image-5-courses-course-x-template.png	(from https://coursetemplate.webflow.io/courses)
02:47:32	60572/60572	---M-Z	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2001:47:33%20GMT	https://coursetemplate.webflow.io/product/growth-marketing-build-high-converting-funnels	D:/Web/httrack/Course%20X/coursetemplate.webflow.io/product/growth-marketing-build-high-converting-funnels.html	(from https://coursetemplate.webflow.io/courses)
02:47:32	11765/11765	---M--	200	added ('OK')	image/png	etag:%22762bfc02f91d0f4852575d9bbd5e97ef%22	https://assets.website-files.com/60d9feb9c76d5832c1ee9412/60dbc2d29fdd451e771c0546_image-6-courses-course-x-template.png	D:/Web/httrack/Course%20X/assets.website-files.com/60d9feb9c76d5832c1ee9412/60dbc2d29fdd451e771c0546_image-6-courses-course-x-template.png	(from https://coursetemplate.webflow.io/courses)
02:47:32	60527/60527	---M-Z	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2001:47:33%20GMT	https://coursetemplate.webflow.io/product/advanced-funnels-with-google-analytics	D:/Web/httrack/Course%20X/coursetemplate.webflow.io/product/advanced-funnels-with-google-analytics.html	(from https://coursetemplate.webflow.io/courses)
02:47:32	11648/11648	---M--	200	added ('OK')	image/png	etag:%222da42be185b2638ab0f3e9fad7ee29ae%22	https://assets.website-files.com/60d9feb9c76d5832c1ee9412/60dbc00c22effbfb00e37da4_image-7-courses-course-x-template.png	D:/Web/httrack/Course%20X/assets.website-files.com/60d9feb9c76d5832c1ee9412/60dbc00c22effbfb00e37da4_image-7-courses-course-x-template.png	(from https://coursetemplate.webflow.io/courses)
02:47:33	7377/7377	---M--	200	added ('OK')	image/jpeg	etag:%22febd694156f4e796841ea5776d192f65%22	https://assets.website-files.com/60d9feb9c76d589e5bee9402/60dca8e551927177569b9cdd_image-3-testimonials-about-course-x-template.jpg	D:/Web/httrack/Course%20X/assets.website-files.com/60d9feb9c76d589e5bee9402/60dca8e551927177569b9cdd_image-3-testimonials-about-course-x-template.jpg	(from https://coursetemplate.webflow.io/product/ultimate-growth-marketing-course)
02:47:33	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Fri,%2023%20Sep%202022%2001:47:34%20GMT	https://coursetemplate.webflow.io/blog	D:/Web/httrack/Course%20X/coursetemplate.webflow.io/blog	(from https://coursetemplate.webflow.io/)
02:47:33	99153/99153	---M--	200	added ('OK')	image/jpeg	etag:%22d9ce63d969553e2b423607b0efade93f%22	https://assets.website-files.com/60d9feb9c76d589e5bee9402/60de2fec37a4b55f4ee47f95_image-figure-post-course-x-template.jpg	D:/Web/httrack/Course%20X/assets.website-files.com/60d9feb9c76d589e5bee9402/60de2fec37a4b55f4ee47f95_image-figure-post-course-x-template.jpg	(from https://coursetemplate.webflow.io/utility-pages/style-guide)
02:47:34	16/16	---MC-	502	error ('Bad%20Gateway')	text/plain	date:Fri,%2023%20Sep%202022%2001:47:34%20GMT	https://coursetemplate.webflow.io/blog/how-to-create-a-great-content-marketing-plan	D:/Web/httrack/Course%20X/coursetemplate.webflow.io/blog/how-to-create-a-great-content-marketing-plan	(from https://coursetemplate.webflow.io/)
02:47:34	108242/108242	---M--	200	added ('OK')	image/jpeg	etag:%22f2aded0100e59aee34fe76d42b59e513%22	https://assets.website-files.com/60d9feb9c76d589e5bee9402/610359264481f418a126f51f_course-x-webflow-template-and-ui-kit-color.jpg	D:/Web/httrack/Course%20X/assets.website-files.com/60d9feb9c76d589e5bee9402/610359264481f418a126f51f_course-x-webflow-template-and-ui-kit-color.jpg	(from https://coursetemplate.webflow.io/utility-pages/start-here)
02:47:34	129352/129352	---M--	200	added ('OK')	image/jpeg	etag:%22e275a5e3acaebd0b3d4051d8579fa9b0%22	https://assets.website-files.com/60d9feb9c76d589e5bee9402/610359322d874f2c66e3395d_course-x-webflow-template-and-ui-kit-typography.jpg	D:/Web/httrack/Course%20X/assets.website-files.com/60d9feb9c76d589e5bee9402/610359322d874f2c66e3395d_course-x-webflow-template-and-ui-kit-typography.jpg	(from https://coursetemplate.webflow.io/utility-pages/start-here)
02:47:35	37208/37208	---M--	200	added ('OK')	image/png	etag:%22d6ce7bf0e523a3e6e98e94c29aee93b4%22	https://assets.website-files.com/60d9feb9c76d589e5bee9402/61035973ab4397d3f9179c86_course-x-webflow-template-and-ui-kit-custom-typography.png	D:/Web/httrack/Course%20X/assets.website-files.com/60d9feb9c76d589e5bee9402/61035973ab4397d3f9179c86_course-x-webflow-template-and-ui-kit-custom-typography.png	(from https://coursetemplate.webflow.io/utility-pages/start-here)
02:47:36	90606/90606	---M--	200	added ('OK')	image/jpeg	etag:%22fbca68f96f29fddda09729c06db9aead%22	https://assets.website-files.com/60d9feb9c76d589e5bee9402/6103597b24990290dbae5a54_course-x-webflow-template-and-ui-kit-icons-and-graphics.jpg	D:/Web/httrack/Course%20X/assets.website-files.com/60d9feb9c76d589e5bee9402/6103597b24990290dbae5a54_course-x-webflow-template-and-ui-kit-icons-and-graphics.jpg	(from https://coursetemplate.webflow.io/utility-pages/start-here)
02:47:36	87263/87263	---M--	200	added ('OK')	image/jpeg	etag:%22cae8f4b339bc22642a8bd01ea4fadbd2%22	https://assets.website-files.com/60d9feb9c76d589e5bee9402/61035985026da370a430408b_course-x-webflow-template-and-ui-kit-static-content.jpg	D:/Web/httrack/Course%20X/assets.website-files.com/60d9feb9c76d589e5bee9402/61035985026da370a430408b_course-x-webflow-template-and-ui-kit-static-content.jpg	(from https://coursetemplate.webflow.io/utility-pages/start-here)
02:47:36	107431/107431	---M--	200	added ('OK')	image/jpeg	etag:%2260aa7d176b0e8fe0bab168b1534d6b9e%22	https://assets.website-files.com/60d9feb9c76d589e5bee9402/61035a2b50fe9ecd7364cb6d_course-x-webflow-template-and-ui-kit-CMS.jpg	D:/Web/httrack/Course%20X/assets.website-files.com/60d9feb9c76d589e5bee9402/61035a2b50fe9ecd7364cb6d_course-x-webflow-template-and-ui-kit-CMS.jpg	(from https://coursetemplate.webflow.io/utility-pages/start-here)
02:47:37	46982/46982	---M--	200	added ('OK')	image/jpeg	etag:%22666527da214e05d63cce02f2c7f70b10%22	https://assets.website-files.com/60d9feb9c76d589e5bee9402/61035a312515667f6d94b572_course-x-webflow-template-and-ui-kit-CMS-Collection.jpg	D:/Web/httrack/Course%20X/assets.website-files.com/60d9feb9c76d589e5bee9402/61035a312515667f6d94b572_course-x-webflow-template-and-ui-kit-CMS-Collection.jpg	(from https://coursetemplate.webflow.io/utility-pages/start-here)
02:47:37	95884/95884	---M--	200	added ('OK')	image/jpeg	etag:%221978377a645f98e98dd8537e4b90c893%22	https://assets.website-files.com/60d9feb9c76d589e5bee9402/61035a3a217b5d6513b2befb_course-x-webflow-template-and-ui-kit-CMS-content.jpg	D:/Web/httrack/Course%20X/assets.website-files.com/60d9feb9c76d589e5bee9402/61035a3a217b5d6513b2befb_course-x-webflow-template-and-ui-kit-CMS-content.jpg	(from https://coursetemplate.webflow.io/utility-pages/start-here)
